,0.1
511,73.9
512,73.9
513,74.7
514,73.4
515,74.1
516,72.3
517,74.2
518,73.25
519,72.89999999999999
520,74.35000000000001
521,74.3
522,73.45
523,74.7
524,74.6
525,73.75
526,74.4
527,74.0
528,74.7
529,74.3
530,75.3
531,73.75
532,73.75
533,73.65
534,74.05000000000001
535,74.8
536,74.05000000000001
537,74.4
538,75.0
539,74.6
540,74.75
541,73.85000000000001
542,74.65
543,74.15
544,74.45
545,74.45
546,73.9
547,73.8
548,74.1
549,74.4
550,75.1
551,73.35000000000001
552,75.1
553,75.2
554,75.3
555,75.25
556,73.45
557,75.0
558,74.9
559,74.6
560,75.14999999999999
561,74.95
562,74.95
563,75.1
564,75.0
565,74.95
566,74.05000000000001
567,74.6
568,74.45
569,74.0
570,74.95
571,74.6
572,75.44999999999999
573,74.9
574,74.8
575,75.5
576,74.45
577,74.75
578,74.55000000000001
579,74.1
580,74.9
581,74.5
582,74.65
583,75.75
584,74.15
585,75.0
586,75.7
587,75.7
588,75.25
589,74.9
590,74.6
591,74.9
592,74.8
593,75.7
594,75.4
595,76.1
596,75.5
597,75.64999999999999
598,75.55
599,75.9
600,76.14999999999999
601,75.64999999999999
602,74.25
603,75.64999999999999
604,75.85
605,76.14999999999999
606,75.44999999999999
607,75.75
608,75.94999999999999
609,74.4
610,76.3
611,74.75
612,75.85
613,74.75
614,75.5
615,74.65
616,75.35
617,75.5
618,76.05
619,75.94999999999999
620,75.9
621,76.1
622,75.64999999999999
623,75.4
624,74.35000000000001
625,74.45
626,74.8
627,76.25
628,75.35
629,76.05
630,75.05
631,75.6
632,75.8
633,75.55
634,77.14999999999999
635,76.8
636,76.75
637,76.1
638,76.0
639,76.85
640,75.94999999999999
641,74.8
642,76.64999999999999
643,76.14999999999999
644,75.6
645,76.1
646,76.4
647,76.3
648,76.0
649,77.05
650,76.95
651,75.9
652,75.44999999999999
653,75.7
654,76.85
655,77.0
656,75.6
657,76.44999999999999
658,75.25
659,75.7
660,75.3
661,76.25
662,76.05
663,76.0
664,75.75
665,75.94999999999999
666,76.35
667,76.95
668,77.05
669,75.3
670,77.14999999999999
671,76.6
672,76.4
673,76.3
674,75.8
675,75.7
676,75.9
677,76.5
678,76.3
679,76.7
680,77.3
681,76.25
682,76.7
683,76.95
684,76.44999999999999
685,77.5
686,76.95
687,75.3
688,76.95
689,76.95
690,76.8
691,77.2
692,76.7
693,76.3
694,76.6
695,76.85
696,76.44999999999999
697,76.4
698,77.75
699,76.25
700,76.64999999999999
701,75.9
702,76.35
703,77.5
704,77.05
705,77.64999999999999
706,75.9
707,76.75
708,76.5
709,77.0
710,77.45
711,76.0
712,76.44999999999999
713,77.85
714,76.95
715,77.2
716,77.64999999999999
717,77.35
718,77.5
719,77.2
720,77.35
721,78.10000000000001
722,77.9
723,77.5
724,77.75
725,77.8
726,77.2
727,76.7
728,76.1
729,76.75
730,77.25
731,76.55
732,78.0
733,77.4
734,76.6
735,77.64999999999999
736,77.85
737,77.3
738,75.85
739,77.0
740,77.25
741,76.8
742,78.5
743,77.7
744,78.2
745,77.55
746,77.35
747,76.05
748,76.7
749,77.4
750,77.5
751,77.55
752,77.0
753,76.35
754,77.2
755,78.55
756,78.2
757,76.0
758,77.45
759,76.85
760,78.25
761,77.64999999999999
762,77.10000000000001
763,78.0
764,77.10000000000001
765,77.2
766,77.7
767,76.6
768,77.05
769,76.0
770,76.85
771,77.75
772,77.5
773,77.25
774,76.7
775,78.35
776,77.85
777,77.5
778,77.5
779,77.7
780,77.85
781,76.75
782,76.4
783,77.55
784,78.14999999999999
785,77.45
786,77.14999999999999
787,76.75
788,78.75
789,77.55
790,77.45
791,77.7
792,76.64999999999999
793,77.9
794,77.55
795,77.10000000000001
796,77.8
797,78.7
798,78.35
799,78.05
800,77.5
801,77.25
802,77.8
803,78.64999999999999
804,77.25
805,77.60000000000001
806,77.4
807,77.14999999999999
808,77.85
809,77.45
810,77.3
811,78.4
812,77.45
813,77.4
814,77.2
815,78.2
816,77.35
817,78.25
818,78.10000000000001
819,77.5
820,77.60000000000001
821,79.05
822,78.4
823,77.8
824,78.64999999999999
825,77.35
826,77.60000000000001
827,77.14999999999999
828,77.64999999999999
829,77.35
830,78.14999999999999
831,77.95
832,78.7
833,77.7
834,78.5
835,77.75
836,78.55
837,77.95
838,78.35
839,78.64999999999999
840,77.8
841,77.14999999999999
842,77.7
843,78.45
844,79.3
845,78.8
846,78.7
847,77.8
848,77.35
849,79.55
850,78.10000000000001
851,77.4
852,78.25
853,77.95
854,78.25
855,79.2
856,78.35
857,77.05
858,78.64999999999999
859,78.3
860,77.7
861,77.55
862,77.55
863,79.35
864,78.10000000000001
865,78.5
866,78.5
867,77.95
868,78.3
869,78.5
870,77.4
871,78.55
872,78.45
873,77.95
874,78.45
875,78.2
876,78.85
877,78.25
878,78.55
879,77.60000000000001
880,78.0
881,77.7
882,79.0
883,78.05
884,78.35
885,77.95
886,78.2
887,78.60000000000001
888,77.3
889,78.85
890,78.45
891,77.35
892,78.55
893,78.64999999999999
894,78.3
895,77.64999999999999
896,77.45
897,77.95
898,78.55
899,77.14999999999999
900,78.35
901,77.5
902,77.7
903,78.8
904,78.10000000000001
905,78.14999999999999
906,77.8
907,79.75
908,78.9
909,78.55
910,78.05
911,78.85
912,77.85
913,78.14999999999999
914,78.4
915,79.0
916,78.75
917,77.05
918,78.14999999999999
919,78.3
920,78.5
921,78.4
922,79.3
923,77.7
924,77.64999999999999
925,78.55
926,78.55
927,78.55
928,78.5
929,77.4
930,78.8
931,77.64999999999999
932,78.64999999999999
933,78.8
934,79.5
935,78.75
936,77.9
937,79.7
938,78.5
939,78.60000000000001
940,79.60000000000001
941,79.25
942,78.14999999999999
943,79.14999999999999
944,78.7
945,79.85
946,78.85
947,79.3
948,77.9
949,79.85
950,78.45
951,78.95
952,78.25
953,77.4
954,79.35
955,78.05
956,77.60000000000001
957,78.35
958,77.8
959,78.75
960,78.7
961,79.5
962,78.95
963,78.14999999999999
964,79.4
965,78.10000000000001
966,79.3
967,79.2
968,79.0
969,77.45
970,79.05
971,78.5
972,78.35
973,78.5
974,77.95
975,79.0
976,78.95
977,79.7
978,77.3
979,79.4
980,79.45
981,80.35
982,78.60000000000001
983,79.3
984,79.55
985,78.14999999999999
986,79.0
987,79.25
988,78.7
989,79.14999999999999
990,78.85
991,78.05
992,79.65
993,79.05
994,79.5
995,79.10000000000001
996,79.05
997,78.45
998,78.64999999999999
999,79.3
