,0
0,9.950000000000001
1,10.100000000000001
2,10.7
3,10.9
4,10.4
5,9.25
6,10.75
7,9.4
8,12.2
9,10.75
10,9.85
11,10.05
12,10.35
13,9.3
14,8.649999999999999
15,8.85
16,10.100000000000001
17,9.1
18,10.45
19,9.1
20,41.699999999999996
21,44.65
22,46.300000000000004
23,49.15
24,51.5
25,53.449999999999996
26,53.7
27,55.800000000000004
28,57.25
29,58.4
30,58.75
31,58.599999999999994
32,59.25
33,59.95
34,60.699999999999996
35,61.1
36,61.550000000000004
37,62.25000000000001
38,62.5
39,63.24999999999999
40,63.24999999999999
41,63.7
42,64.05
43,64.55
44,64.4
45,64.55
46,65.0
47,64.95
48,64.64999999999999
49,64.75
50,65.4
51,65.60000000000001
52,65.7
53,65.85
54,65.8
55,65.8
56,65.85
57,66.10000000000001
58,66.3
59,66.35
60,66.35
61,66.2
62,66.25
63,66.3
64,66.55
65,66.64999999999999
66,67.0
67,67.10000000000001
68,66.9
69,66.9
70,67.0
71,67.05
72,66.9
73,66.8
74,66.8
75,66.75
76,67.05
77,67.15
78,67.30000000000001
79,67.30000000000001
80,67.25
81,67.30000000000001
82,67.4
83,67.5
84,67.60000000000001
85,67.55
86,67.75
87,67.5
88,67.65
89,67.7
90,67.80000000000001
91,67.85
92,67.80000000000001
93,67.80000000000001
94,67.85
95,67.95
96,67.95
97,68.10000000000001
98,68.05
99,67.9
100,68.05
101,68.05
102,67.95
103,68.15
104,68.10000000000001
105,68.05
106,68.0
107,67.95
108,68.10000000000001
109,68.05
110,67.95
111,68.05
112,68.0
113,67.95
114,67.80000000000001
115,67.80000000000001
116,67.95
117,67.85
118,67.9
119,68.0
120,67.85
121,67.9
122,67.9
123,67.9
124,67.95
125,67.80000000000001
126,67.9
127,67.80000000000001
128,67.9
129,67.95
130,68.15
131,68.05
132,68.10000000000001
133,67.95
134,67.9
135,68.0
136,68.0
137,68.0
138,68.05
139,68.0
140,68.05
141,68.05
142,68.15
143,68.15
144,68.2
145,68.15
146,68.15
147,68.10000000000001
148,68.15
149,68.15
150,68.2
151,68.25
152,68.30000000000001
153,68.35
154,68.15
155,68.10000000000001
156,68.15
157,68.25
158,68.35
159,68.35
160,68.45
161,68.4
162,68.35
163,68.35
164,68.35
165,68.4
166,68.4
167,68.4
168,68.35
169,68.30000000000001
170,68.4
171,68.4
172,68.45
173,68.4
174,68.35
175,68.4
176,68.45
177,68.4
178,68.30000000000001
179,68.30000000000001
180,68.4
181,68.4
182,68.35
183,68.4
184,68.35
185,68.35
186,68.4
187,68.45
188,68.4
189,68.4
190,68.45
191,68.45
192,68.45
193,68.45
194,68.45
195,68.45
196,68.4
197,68.45
198,68.45
199,68.5
200,68.45
201,68.4
202,68.4
203,68.4
204,68.5
205,68.55
206,68.4
207,68.45
208,68.4
209,68.35
210,68.45
211,68.45
212,68.45
213,68.45
214,68.5
215,68.45
216,68.4
217,68.4
218,68.4
219,68.35
220,68.35
221,68.4
222,68.45
223,68.4
224,68.45
225,68.45
226,68.45
227,68.45
228,68.45
229,68.45
230,68.5
231,68.4
232,68.45
233,68.45
234,68.45
235,68.45
236,68.45
237,68.45
238,68.45
239,68.45
240,68.5
241,68.45
242,68.45
243,68.45
244,68.55
245,68.5
246,68.5
247,68.5
248,68.45
249,68.4
250,68.4
251,68.45
252,68.45
253,68.45
254,68.45
255,68.4
256,68.45
257,68.45
258,68.45
259,68.4
260,68.45
261,68.45
262,68.45
263,68.45
264,68.4
265,68.45
266,68.45
267,68.45
268,68.45
269,68.45
270,68.45
271,68.45
272,68.45
273,68.45
274,68.45
275,68.5
276,68.5
277,68.5
278,68.55
279,68.5
280,68.5
281,68.5
282,68.5
283,68.45
284,68.5
285,68.55
286,68.5
287,68.55
288,68.55
289,68.55
290,68.55
291,68.55
292,68.45
293,68.45
294,68.5
295,68.5
296,68.5
297,68.5
298,68.5
299,68.5
300,68.5
301,68.55
302,68.5
303,68.45
304,68.5
305,68.5
306,68.5
307,68.5
308,68.5
309,68.5
310,68.5
311,68.5
312,68.5
313,68.5
314,68.5
315,68.5
316,68.5
317,68.5
318,68.5
319,68.5
320,68.45
321,68.5
322,68.5
323,68.45
324,68.45
325,68.5
326,68.5
327,68.5
328,68.5
329,68.45
330,68.5
331,68.5
332,68.5
333,68.5
334,68.5
335,68.5
336,68.5
337,68.5
338,68.5
339,68.5
340,68.5
341,68.5
342,68.5
343,68.5
344,68.5
345,68.5
346,68.5
347,68.5
348,68.5
349,68.5
350,68.5
351,68.5
352,68.5
353,68.5
354,68.5
355,68.5
356,68.5
357,68.5
358,68.5
