,"Realistic, ε=0.1, Q₁=0","Optimistic, ε=0, Q₁=5"
232,50.1,65.25
233,50.5,65.25
234,50.7,65.5
235,50.74999999999999,65.25
236,51.74999999999999,65.35
237,51.2,65.60000000000001
238,51.05,65.85
239,51.2,65.85
240,50.4,66.55
241,50.55,66.4
242,52.400000000000006,67.0
243,51.449999999999996,66.35
244,51.9,66.85
245,52.55,66.45
246,52.25,66.60000000000001
247,51.7,66.9
248,52.25,66.7
249,51.6,67.35
250,51.55,67.05
251,53.15,67.25
252,52.449999999999996,67.0
253,52.800000000000004,67.30000000000001
254,52.15,68.5
255,53.1,68.60000000000001
256,52.05,68.10000000000001
257,52.849999999999994,68.0
258,52.400000000000006,67.45
259,52.65,67.9
260,53.449999999999996,67.9
261,53.0,67.85
262,52.75,67.35
263,53.2,67.25
264,54.15,67.4
265,52.7,68.35
266,52.900000000000006,67.95
267,53.1,68.2
268,53.1,67.80000000000001
269,53.900000000000006,67.7
270,53.75,68.55
271,53.2,68.4
272,54.25,68.75
273,53.25,69.6
274,53.349999999999994,70.3
275,52.349999999999994,70.45
276,53.400000000000006,69.8
277,54.400000000000006,69.6
278,53.5,69.69999999999999
279,53.65,69.75
280,53.900000000000006,69.89999999999999
281,54.05,70.89999999999999
282,54.05,71.05
283,53.400000000000006,70.65
284,54.400000000000006,70.55
285,54.449999999999996,70.55
286,53.65,70.55
287,54.300000000000004,71.15
288,54.6,71.5
289,54.449999999999996,71.85000000000001
290,54.85,72.25
291,54.50000000000001,72.05
292,53.300000000000004,71.65
293,54.800000000000004,72.1
294,54.85,72.15
295,54.300000000000004,72.2
296,54.50000000000001,72.95
297,53.349999999999994,72.95
298,54.400000000000006,73.4
299,54.7,72.75
300,54.7,72.89999999999999
301,54.50000000000001,72.45
302,55.25,72.95
303,53.7,73.15
304,55.15,73.25
305,54.65,73.3
306,54.55,73.3
307,53.5,72.89999999999999
308,54.800000000000004,73.35000000000001
309,54.6,73.1
310,54.15,74.35000000000001
311,55.7,74.5
312,54.800000000000004,74.75
313,55.400000000000006,74.75
314,55.400000000000006,74.85000000000001
315,54.449999999999996,74.1
316,54.75,74.55000000000001
317,55.05,74.25
318,55.00000000000001,74.5
319,56.00000000000001,75.25
320,53.7,75.75
321,55.7,75.4
322,55.50000000000001,75.75
323,56.05,75.35
324,54.85,74.9
325,55.50000000000001,75.7
326,54.7,75.55
327,55.35,75.7
328,55.50000000000001,76.1
329,54.15,76.3
330,55.45,76.55
331,55.60000000000001,76.25
332,55.7,76.4
333,55.95,76.3
334,56.10000000000001,75.85
335,56.45,75.94999999999999
336,56.3,76.5
337,56.65,75.8
338,56.39999999999999,76.3
339,56.599999999999994,76.1
340,56.8,77.0
341,56.2,76.1
342,56.35,76.05
343,56.85,76.64999999999999
344,56.699999999999996,76.55
345,56.25,76.25
346,56.35,76.55
347,56.85,76.6
348,57.9,76.64999999999999
349,56.35,76.7
350,56.85,76.14999999999999
351,56.699999999999996,75.9
352,56.599999999999994,76.3
353,57.099999999999994,76.2
354,57.45,76.4
355,56.39999999999999,76.05
356,57.95,76.44999999999999
357,57.699999999999996,76.9
358,57.15,77.2
359,57.099999999999994,77.14999999999999
360,57.8,77.2
361,57.4,77.4
362,56.85,77.4
363,57.45,77.25
364,57.49999999999999,76.95
365,57.05,76.95
366,57.65,76.95
367,57.599999999999994,77.5
368,56.75,78.10000000000001
369,57.099999999999994,77.75
370,58.099999999999994,77.95
371,56.8,78.5
372,58.3,77.9
373,58.25,77.85
374,57.85,78.2
375,57.8,78.60000000000001
376,57.99999999999999,78.05
377,58.15,77.9
378,58.8,78.3
379,58.050000000000004,78.5
380,58.3,78.7
381,57.65,79.0
382,57.599999999999994,79.10000000000001
383,58.5,78.75
384,57.45,78.35
385,57.9,78.95
386,58.45,78.9
387,58.95,79.0
388,58.199999999999996,79.05
389,58.9,78.95
390,58.599999999999994,78.9
391,58.599999999999994,78.60000000000001
392,57.85,79.25
393,58.699999999999996,79.25
394,57.95,79.25
395,58.099999999999994,79.85
396,59.35,79.9
397,57.599999999999994,79.7
398,57.99999999999999,79.4
399,58.099999999999994,79.45
400,59.3,79.60000000000001
401,58.45,79.35
402,58.4,79.2
403,58.95,79.10000000000001
404,58.35,79.2
405,59.650000000000006,79.65
406,59.35,79.60000000000001
407,59.25,78.95
408,59.050000000000004,79.5
409,59.050000000000004,79.75
410,58.8,79.65
411,59.5,79.95
412,59.4,80.10000000000001
413,59.25,79.65
414,59.75,79.7
415,59.050000000000004,79.65
416,59.150000000000006,79.65
417,59.699999999999996,79.95
418,60.9,79.5
419,59.45,79.5
420,59.35,79.75
421,59.099999999999994,80.05
422,60.4,80.30000000000001
423,59.150000000000006,80.35
424,59.650000000000006,80.80000000000001
425,60.0,80.45
426,60.199999999999996,80.4
427,59.45,81.05
428,59.85,80.9
429,60.45,80.75
430,60.3,81.3
431,60.150000000000006,80.75
432,61.199999999999996,80.45
433,60.45,80.65
434,60.099999999999994,80.7
435,60.85,80.30000000000001
436,60.8,80.85
437,60.099999999999994,80.9
438,60.3,80.85
439,61.199999999999996,80.75
440,60.25,80.95
441,60.95,80.80000000000001
442,61.0,80.65
443,60.75000000000001,81.0
444,61.8,81.10000000000001
445,61.4,80.9
446,61.3,81.35
447,60.95,81.10000000000001
448,61.5,80.80000000000001
449,61.7,80.60000000000001
450,60.9,80.30000000000001
451,61.7,80.75
452,61.650000000000006,80.35
453,61.8,80.35
454,62.150000000000006,80.7
455,62.4,80.60000000000001
456,61.9,80.85
457,62.150000000000006,80.4
458,61.85000000000001,80.4
459,61.5,80.45
460,60.95,80.4
461,60.699999999999996,80.65
462,61.75000000000001,80.35
463,62.0,80.5
464,61.95,80.4
465,61.8,80.45
466,61.9,80.4
467,63.1,80.5
468,61.3,80.45
469,62.6,80.7
470,63.7,80.75
471,62.5,80.75
472,62.64999999999999,81.0
473,63.55,80.7
474,61.95,80.9
475,62.0,80.60000000000001
476,62.6,80.55
477,62.64999999999999,80.4
478,62.2,80.7
479,62.35000000000001,81.0
480,62.45,80.75
481,63.349999999999994,80.95
482,64.05,80.85
483,62.74999999999999,80.7
484,63.65,80.80000000000001
485,64.35,81.10000000000001
486,63.05,81.39999999999999
487,63.4,81.45
488,63.2,81.6
489,63.24999999999999,81.15
490,63.74999999999999,80.80000000000001
491,61.650000000000006,80.95
492,63.949999999999996,80.60000000000001
493,62.8,80.95
494,63.349999999999994,81.25
495,62.7,81.39999999999999
496,64.64999999999999,81.2
497,64.2,81.5
498,63.3,81.6
499,64.1,81.55
500,63.65,81.5
501,63.349999999999994,81.25
502,63.2,81.3
503,63.7,81.45
504,63.349999999999994,81.3
505,63.6,81.10000000000001
506,63.7,81.39999999999999
507,63.9,81.10000000000001
508,64.2,81.65
509,64.35,81.2
510,64.75,81.0
511,63.74999999999999,81.45
512,64.4,81.8
513,65.0,81.65
514,64.75,81.6
515,64.95,81.5
516,64.60000000000001,81.6
517,65.7,81.6
518,65.05,81.55
519,64.4,81.69999999999999
520,64.14999999999999,81.65
521,64.45,81.39999999999999
522,64.35,81.35
523,63.349999999999994,81.25
524,64.45,81.35
525,65.95,81.85
526,64.85,81.69999999999999
527,64.4,81.85
528,64.64999999999999,81.89999999999999
529,64.0,82.05
530,64.95,82.05
531,65.55,81.8
532,66.45,81.69999999999999
533,64.45,81.89999999999999
534,65.7,81.6
535,65.5,81.45
536,65.7,81.85
537,65.75,81.8
538,65.05,82.05
539,64.60000000000001,82.3
540,65.4,82.35
541,65.55,82.45
542,66.0,82.35
543,65.35,82.25
544,65.7,82.25
545,65.5,82.35
546,65.4,82.3
547,65.5,82.39999999999999
548,65.3,82.35
549,65.45,82.25
550,65.60000000000001,82.35
551,65.55,82.35
552,65.9,82.05
553,66.3,82.05
554,66.14999999999999,82.5
555,66.35,82.1
556,65.7,82.35
557,65.14999999999999,82.8
558,67.25,82.8
